ID,cawp_name,ilga_name,chamber,general_assembly,ilga_all_bills_count,ilga_primary_bills_count,ilga_cosponsored_bills_count,ilga_healthcare_all_count,ilga_healthcare_primary_count,ilga_healthcare_cosponsored_count,ilga_employment_all_count,ilga_employment_primary_count,ilga_employment_cosponsored_count,ilga_education_children_all_count,ilga_education_children_primary_count,ilga_education_children_cosponsored_count
289863k,Michelle Mussman,Michelle Mussman,House,101,220,38,182,40,2,38,17,5,12,39,13,26
645589k,Monica Bristow,Monica Bristow,House,101,171,51,120,18,4,14,10,2,8,22,6,16
387729k,Natalie A. Manley,Natalie A. Manley,House,101,198,37,161,28,5,23,15,3,12,32,4,28
287099k,Robyn Gabel,Robyn Gabel,House,101,296,67,229,65,22,43,20,4,16,38,8,30
194298k,Sara Feigenholtz,Sara Feigenholtz,House,101,146,28,118,32,13,19,15,1,14,18,2,16
559508k,Sonya M. Harper,Sonya M. Harper,House,101,208,67,141,32,8,24,15,3,12,44,12,32
387605k,Stephanie A. Kifowit,Stephanie A. Kifowit,House,101,147,41,106,15,3,12,15,2,13,26,9,17
387726k,Sue Scherer,Sue Scherer,House,101,93,29,64,12,3,9,8,2,6,30,12,18
645525k,Terra Costa Howard,Terra Costa Howard,House,101,271,30,241,36,2,34,21,2,19,40,5,35
477858k,Terri Bryant,Terri Bryant,House,101,144,19,125,9,3,6,10,1,9,23,3,20
560990k,Theresa Mah,Theresa Mah,House,101,216,25,191,28,3,25,18,1,17,31,2,29
753914k,Adriane Johnson,Adriane Johnson,Senate,101,27,0,27,4,0,4,1,0,1,9,0,9
646485k,Ann Gillespie,Ann Gillespie,Senate,101,152,33,119,26,2,24,21,2,19,33,12,21
675767k,Celina Villanueva,Celina Villanueva,Senate,101,60,22,38,7,2,5,5,1,4,13,4,9
560946k,Cristina Castro,Cristina Castro,Senate,101,279,98,181,37,5,32,38,20,18,46,13,33
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,101,282,39,243,22,7,15,22,1,21,60,9,51
387557k,Jennifer Bertino-Tarrant,Jennifer Bertino-Tarrant,Senate,101,136,16,120,16,1,15,10,1,9,31,9,22
247264k,Jil W. Tracy,Jil Tracy,Senate,101,103,68,35,10,8,2,6,2,4,9,4,5
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,101,209,54,155,35,11,24,18,2,16,60,22,38
646482k,Laura Ellman,Laura Ellman,Senate,101,137,47,90,12,2,10,9,1,8,23,10,13
387347k,Laura Fine,Laura Fine,Senate,101,250,78,172,43,17,26,24,9,15,30,6,24
555460k,Laura M. Murphy,Laura M. Murphy,Senate,101,348,72,276,43,6,37,27,2,25,64,13,51
250812k,Linda Holmes,Linda Holmes,Senate,101,169,54,115,19,1,18,16,2,14,23,5,18
214463k,Mattie Hunter,Mattie Hunter,Senate,101,252,41,211,39,8,31,26,5,21,44,8,36
387460k,Melinda Bush,Melinda Bush,Senate,101,227,123,104,22,7,15,18,7,11,22,10,12
387354k,Patricia Van Pelt,Patricia Van Pelt,Senate,101,119,17,102,17,3,14,15,1,14,27,1,26
646501k,Rachelle Aud Crowe,Rachelle Crowe,Senate,101,201,71,130,23,5,18,9,1,8,33,6,27
194298k,Sara Feigenholtz,Sara Feigenholtz,Senate,101,98,43,55,24,11,13,5,2,3,19,5,14
289878k,Sue Rezin,Sue Rezin,Senate,101,104,41,63,6,3,3,5,0,5,17,7,10
724177k,Amy Elik,Amy Elik,House,102,169,32,137,23,3,20,5,1,4,20,4,16
646557k,Amy L. Grant,Amy Grant,House,102,217,12,205,32,0,32,7,0,7,23,1,22
770579k,Angelica Guerrero-Cuellar,Angelica Guerrero-Cuellar,House,102,188,21,167,32,1,31,13,4,9,43,2,41
646616k,Anne M. Stava-Murray,Anne Stava-Murray,House,102,285,43,242,39,2,37,11,1,10,47,6,41
527585k,Avery Bourne,Avery Bourne,House,102,103,16,87,5,0,5,1,0,1,15,4,11
699437k,Barbara Hernandez,Barbara Hernandez,House,102,357,46,311,58,6,52,21,2,19,68,12,56
